address,length,value
0x0001c87b,22,alcCaptureCloseDevice
0x0001c891,36,nm_device_get_available_connections
0x0001c8b5,13,g_signal_new
0x0001c8c2,5,modf
0x0001c8c7,13,pthread_join
0x0001c8d4,6,execv
0x0001c8da,14,__assert_fail
0x0001c8e8,8,dlclose
0x0001c8f0,26,ThreadGetCurrentProcessId
0x0001c90a,14,V_hextobinary
0x0001c918,11,V_FileBase
0x0001c923,9,XPending
0x0001c92c,21,XTestFakeMotionEvent
0x0001c941,19,pa_context_connect
0x0001c954,27,nm_device_get_dhcp4_config
0x0001c96f,23,g_intern_static_string
0x0001c986,7,accept
0x0001c98d,5,puts
0x0001c992,6,flock
0x0001c998,13,__cxa_atexit
0x0001c9a5,12,fallocate64
0x0001c9b1,19,ThreadCloseProcess
0x0001c9c4,14,Plat_MSTime64
0x0001c9d2,40,_ZN11SteamStdLib17CCommandLineParamD1Ev
0x0001c9fa,17,glXCreateContext
0x0001ca0b,21,udev_enumerate_unref
0x0001ca20,19,udev_monitor_unref
0x0001ca33,6,log10
0x0001ca39,7,socket
0x0001ca40,18,GetPlatformFromOS
0x0001ca52,15,XDefaultVisual
0x0001ca61,24,pw_thread_loop_get_loop
0x0001ca79,31,nm_client_add_connection_async
0x0001ca98,44,nm_connection_get_setting_wireless_security
0x0001cac4,13,g_object_get
0x0001cad1,23,g_variant_builder_init
0x0001cae8,5,sinf
0x0001caed,7,mmap64
0x0001caf4,8,statvfs
0x0001cafc,10,epoll_ctl
0x0001cb06,49,_Z15V_UnicodeRepairPc25EStringConvertErrorPolicy
0x0001cb37,20,pw_port_info_update
0x0001cb4b,35,pa_context_get_source_info_by_name
0x0001cb6e,31,nm_setting_connection_get_type
0x0001cb8d,41,g_dbus_interface_skeleton_get_connection
0x0001cbb6,10,tcsetattr
0x0001cbc0,9,shm_open
0x0001cbc9,45,_ZN16SteamThreadTools16CThreadSemaphoreC1Ell
0x0001cbf6,18,SecureRandomBytes
0x0001cc08,26,pa_threaded_mainloop_stop
0x0001cc22,14,nm_client_new
0x0001cc30,24,nm_setting_wireless_new
0x0001cc48,22,g_object_set_property
0x0001cc5e,17,__errno_location
0x0001cc6f,8,strtoul
0x0001cc77,6,mount
0x0001cc7d,18,V_FormatAndAppend
0x0001cc8f,36,nm_client_activate_connection_async
0x0001ccb3,34,nm_active_connection_get_default6
0x0001ccd5,21,nm_connection_get_id
0x0001ccea,5,sqrt
0x0001ccef,6,write
0x0001ccf5,27,pthread_attr_getschedparam
0x0001cd10,7,signal
0x0001cd17,6,putwc
0x0001cd1d,12,__strcoll_l
0x0001cd29,26,ZSTD_trace_compress_begin
0x0001cd43,25,ThreadGetProcessExitCode
0x0001cd5c,12,Plat_MSTime
0x0001cd68,30,StringFindSuffixCaseSensitive
0x0001cd86,18,g_source_set_name
0x0001cd98,22,pthread_mutex_trylock
0x0001cdae,8,dlerror
0x0001cdb6,26,ThreadInterlockedExchange
0x0001cdd0,4,Log
0x0001cdd4,22,Coroutine_YieldToMain
0x0001cdea,9,V_strcat
0x0001cdf3,27,V_strncat_length_unbounded
0x0001ce0e,38,nm_setting_connection_get_autoconnect
0x0001ce34,13,g_object_ref
0x0001ce41,19,g_variant_get_strv
0x0001ce54,22,g_dbus_proxy_get_type
0x0001ce6a,10,ftruncate
0x0001ce74,6,_exit
0x0001ce7a,8,tolower
0x0001ce82,20,XextCreateExtension
0x0001ce96,22,nm_connection_compare
0x0001ceac,37,g_dbus_object_skeleton_add_interface
0x0001ced1,7,log10f
0x0001ced8,8,realloc
0x0001cee0,24,bind_textdomain_codeset
0x0001cef8,11,getentropy
